0422_4,12.834,6.90011,2.73505,8.26787,6.06728,9.81625,0
0422_4,12.999,6.84091,2.66847,8.21109,6.01996,9.73725,0
0422_4,13.165,6.77188,2.5871,8.14725,5.96521,9.62507,0
0422_4,13.33,6.69755,2.51048,8.06495,5.88598,9.43347,0
0422_4,13.496,6.63457,2.45605,7.99975,5.8293,9.31743,0
0422_4,13.661,6.5741,2.40162,7.93157,5.76823,9.21039,0
0422_4,13.827,6.51691,2.35856,7.87724,5.71485,9.11983,0
0422_4,13.994,6.45998,2.29964,7.81747,5.6623,9.02221,0
0422_4,14.16,6.39674,2.23967,7.75255,5.59655,8.93829,0
0422_4,14.326,6.34509,2.18603,7.69632,5.54428,8.85993,0
0422_4,14.491,6.29747,2.13795,7.64444,5.49971,8.77515,0
0422_4,14.657,6.25011,2.10254,7.59337,5.45679,8.69573,0
0422_4,14.822,6.19997,2.0608,7.53904,5.39681,8.62251,0
0422_4,14.988,6.15337,2.01166,7.48552,5.35141,8.54715,0
0422_4,15.153,6.1123,1.96912,7.45374,5.33243,10.37437,0
0422_4,15.319,7.01374,2.38815,9.36424,7.99562,14.15812,0
0422_4,15.485,10.64469,4.05634,12.73267,16.67987,12.24676,0
0422_4,15.65,13.68509,5.49731,10.7241,17.22379,10.71177,0
0422_4,15.816,12.7766,5.62942,12.33851,16.43171,10.35874,0
0422_4,15.981,11.98929,5.24447,11.40377,14.72072,9.43796,0
0422_4,16.147,10.98229,4.5792,10.75806,13.58364,8.26927,2
0422_4,16.312,10.83692,4.1253,10.33592,13.24056,7.49107,2
0422_4,16.478,10.43507,3.76545,10.15147,12.84191,6.93038,2
0422_4,16.643,10.12519,3.51261,9.97028,12.39621,6.48829,2
0422_4,16.809,10.01711,3.33876,9.90536,12.15135,6.07318,2
0422_4,16.98,9.77902,3.13453,9.88607,12.06028,5.71758,2
0422_4,17.145,9.62459,3.01114,9.65164,11.88531,5.60669,2
0422_4,17.311,9.39406,2.85817,9.52424,11.55268,5.30654,2
0422_4,17.476,9.46939,2.762,9.46094,11.27729,5.11836,2
0422_4,17.642,9.20964,2.65077,9.21918,11.03215,4.88051,2
